date,quarter,department,day,team,targeted_productivity,actual_productivity
1/04/2015,Quarter1,sweing,Sunday,12,0.8,0.800030199
1/04/2015,Quarter1,finishing ,Sunday,2,0.8,0.792104167
1/04/2015,Quarter1,finishing ,Sunday,10,0.7,0.759228395
1/04/2015,Quarter1,sweing,Sunday,11,0.75,0.750348457
1/04/2015,Quarter1,sweing,Sunday,3,0.75,0.75024303
1/04/2015,Quarter1,sweing,Sunday,10,0.7,0.699965217
1/04/2015,Quarter1,finishing ,Sunday,8,0.8,0.682708333
1/04/2015,Quarter1,finishing ,Sunday,7,0.8,0.667604167
1/04/2015,Quarter1,sweing,Sunday,5,0.7,0.603432184
1/04/2015,Quarter1,finishing ,Sunday,11,0.75,0.345833333
1/05/2015,Quarter1,finishing ,Monday,1,0.8,0.961059028
1/05/2015,Quarter1,finishing ,Monday,11,0.8,0.939513889
1/05/2015,Quarter1,finishing ,Monday,4,0.8,0.893663194
1/05/2015,Quarter1,finishing ,Monday,3,0.75,0.875390625
1/05/2015,Quarter1,sweing,Monday,9,0.8,0.850569492
1/05/2015,Quarter1,finishing ,Monday,9,0.8,0.820833333
1/05/2015,Quarter1,finishing ,Monday,2,0.8,0.804416667
1/05/2015,Quarter1,sweing,Monday,7,0.8,0.800684366
1/05/2015,Quarter1,sweing,Monday,8,0.8,0.800684366
1/05/2015,Quarter1,sweing,Monday,1,0.8,0.800318644
1/05/2015,Quarter1,sweing,Monday,11,0.8,0.800250962
1/05/2015,Quarter1,sweing,Monday,6,0.8,0.800246011
1/05/2015,Quarter1,sweing,Monday,12,0.8,0.800246011
1/05/2015,Quarter1,sweing,Monday,2,0.8,0.800076522
1/05/2015,Quarter1,sweing,Monday,4,0.8,0.800076522
1/05/2015,Quarter1,finishing ,Monday,10,0.75,0.763375
1/05/2015,Quarter1,finishing ,Monday,5,0.6,0.759270833
1/05/2015,Quarter1,sweing,Monday,10,0.75,0.7504
1/05/2015,Quarter1,sweing,Monday,3,0.75,0.75024303
1/05/2015,Quarter1,finishing ,Monday,7,0.8,0.676666667
1/05/2015,Quarter1,finishing ,Monday,8,0.8,0.664583333
1/05/2015,Quarter1,sweing,Monday,5,0.6,0.600028736
1/06/2015,Quarter1,finishing ,Tuesday,4,0.8,0.966781346
1/06/2015,Quarter1,finishing ,Tuesday,1,0.8,0.936496212
1/06/2015,Quarter1,finishing ,Tuesday,3,0.75,0.899166667
1/06/2015,Quarter1,finishing ,Tuesday,11,0.8,0.888686869
1/06/2015,Quarter1,finishing ,Tuesday,9,0.8,0.858143939
1/06/2015,Quarter1,sweing,Tuesday,1,0.8,0.850502311
1/06/2015,Quarter1,sweing,Tuesday,9,0.8,0.850502311
1/06/2015,Quarter1,finishing ,Tuesday,10,0.75,0.809640152
1/06/2015,Quarter1,finishing ,Tuesday,2,0.8,0.805909091
1/06/2015,Quarter1,sweing,Tuesday,2,0.8,0.800594466
1/06/2015,Quarter1,sweing,Tuesday,4,0.8,0.800594466
1/06/2015,Quarter1,sweing,Tuesday,3,0.8,0.800273829
1/06/2015,Quarter1,sweing,Tuesday,12,0.8,0.800140969
1/06/2015,Quarter1,sweing,Tuesday,7,0.8,0.800128721
1/06/2015,Quarter1,sweing,Tuesday,8,0.8,0.800128721
1/06/2015,Quarter1,sweing,Tuesday,6,0.8,0.80007657
1/06/2015,Quarter1,sweing,Tuesday,10,0.75,0.750545455
1/06/2015,Quarter1,sweing,Tuesday,11,0.75,0.750057851
1/06/2015,Quarter1,finishing ,Tuesday,8,0.8,0.681060606
1/06/2015,Quarter1,sweing,Tuesday,5,0.65,0.649983281
1/06/2015,Quarter1,finishing ,Tuesday,7,0.8,0.61625
1/07/2015,Quarter1,finishing ,Wednesday,1,0.8,0.951420455
1/07/2015,Quarter1,finishing ,Wednesday,9,0.8,0.880530303
1/07/2015,Quarter1,sweing,Wednesday,1,0.8,0.850502311
1/07/2015,Quarter1,sweing,Wednesday,9,0.8,0.850502311
1/07/2015,Quarter1,sweing,Wednesday,8,0.8,0.850136766
1/07/2015,Quarter1,finishing ,Wednesday,3,0.75,0.83
1/07/2015,Quarter1,finishing ,Wednesday,4,0.8,0.827186544
1/07/2015,Quarter1,finishing ,Wednesday,2,0.8,0.813371212
1/07/2015,Quarter1,finishing ,Wednesday,10,0.75,0.805909091
1/07/2015,Quarter1,finishing ,Wednesday,7,0.8,0.804640152
1/07/2015,Quarter1,sweing,Wednesday,2,0.8,0.800594466
1/07/2015,Quarter1,sweing,Wednesday,4,0.8,0.800594466
1/07/2015,Quarter1,sweing,Wednesday,6,0.8,0.800343766
1/07/2015,Quarter1,sweing,Wednesday,3,0.8,0.800273829
1/07/2015,Quarter1,sweing,Wednesday,12,0.8,0.800246753
1/07/2015,Quarter1,sweing,Wednesday,7,0.8,0.800128721
1/07/2015,Quarter1,sweing,Wednesday,10,0.75,0.8
1/07/2015,Quarter1,sweing,Wednesday,5,0.7,0.700480831
1/07/2015,Quarter1,finishing ,Wednesday,8,0.8,0.681060606
1/07/2015,Quarter1,finishing ,Wednesday,6,0.8,0.666515152
1/07/2015,Quarter1,sweing,Wednesday,11,0.8,0.412119835
1/07/2015,Quarter1,finishing ,Wednesday,5,0.7,0.330113636
1/08/2015,Quarter2,finishing ,Thursday,1,0.8,0.947689394
1/08/2015,Quarter2,finishing ,Thursday,4,0.8,0.919905405
1/08/2015,Quarter2,sweing,Thursday,9,0.8,0.900215716
1/08/2015,Quarter2,finishing ,Thursday,9,0.8,0.891723485
1/08/2015,Quarter2,sweing,Thursday,1,0.8,0.850502311
1/08/2015,Quarter2,sweing,Thursday,4,0.8,0.850181818
1/08/2015,Quarter2,sweing,Thursday,7,0.8,0.850136766
1/08/2015,Quarter2,sweing,Thursday,8,0.8,0.850136766
1/08/2015,Quarter2,finishing ,Thursday,2,0.8,0.835757576
1/08/2015,Quarter2,finishing ,Thursday,5,0.7,0.821354167
1/08/2015,Quarter2,sweing,Thursday,2,0.8,0.800497246
1/08/2015,Quarter2,sweing,Thursday,3,0.8,0.800273829
1/08/2015,Quarter2,sweing,Thursday,12,0.8,0.800107143
1/08/2015,Quarter2,sweing,Thursday,6,0.8,0.800024932
1/08/2015,Quarter2,sweing,Thursday,10,0.75,0.8
1/08/2015,Quarter2,finishing ,Thursday,10,0.75,0.779791667
1/08/2015,Quarter2,finishing ,Thursday,8,0.8,0.735984848
1/08/2015,Quarter2,finishing ,Thursday,3,0.75,0.712626263
1/08/2015,Quarter2,finishing ,Thursday,7,0.8,0.681060606
1/08/2015,Quarter2,finishing ,Thursday,11,0.8,0.515606061
1/08/2015,Quarter2,sweing,Thursday,11,0.35,0.349951389
1/08/2015,Quarter2,sweing,Thursday,5,0.7,0.233705476
1/10/2015,Quarter2,finishing ,Saturday,1,0.8,0.985
1/10/2015,Quarter2,finishing ,Saturday,3,0.75,0.930340376
1/10/2015,Quarter2,finishing ,Saturday,4,0.8,0.911589744
1/10/2015,Quarter2,finishing ,Saturday,9,0.8,0.858143939
1/10/2015,Quarter2,sweing,Saturday,9,0.8,0.851174114
1/10/2015,Quarter2,sweing,Saturday,7,0.8,0.850136766
1/10/2015,Quarter2,sweing,Saturday,8,0.8,0.850136766
1/10/2015,Quarter2,finishing ,Saturday,10,0.8,0.846950758
1/10/2015,Quarter2,finishing ,Saturday,11,0.8,0.817424242
1/10/2015,Quarter2,finishing ,Saturday,2,0.8,0.817102273
1/10/2015,Quarter2,sweing,Saturday,4,0.8,0.801028213
1/10/2015,Quarter2,sweing,Saturday,2,0.8,0.800594466
1/10/2015,Quarter2,sweing,Saturday,12,0.8,0.800346445
1/10/2015,Quarter2,sweing,Saturday,6,0.8,0.800343766
1/10/2015,Quarter2,sweing,Saturday,1,0.8,0.800117103
1/10/2015,Quarter2,sweing,Saturday,10,0.8,0.8
1/10/2015,Quarter2,sweing,Saturday,3,0.75,0.750098351
1/10/2015,Quarter2,sweing,Saturday,11,0.5,0.673245283
1/10/2015,Quarter2,finishing ,Saturday,7,0.8,0.670075758
1/10/2015,Quarter2,finishing ,Saturday,8,0.8,0.628882576
1/10/2015,Quarter2,sweing,Saturday,5,0.5,0.388007813
1/10/2015,Quarter2,finishing ,Saturday,5,0.5,0.337973485
1/11/2015,Quarter2,finishing ,Sunday,3,0.75,0.93532197
1/11/2015,Quarter2,finishing ,Sunday,4,0.8,0.925643939
1/11/2015,Quarter2,sweing,Sunday,9,0.8,0.900215716
1/11/2015,Quarter2,finishing ,Sunday,1,0.8,0.873068182
1/11/2015,Quarter2,finishing ,Sunday,9,0.8,0.858143939
1/11/2015,Quarter2,sweing,Sunday,1,0.8,0.850502311
1/11/2015,Quarter2,sweing,Sunday,7,0.8,0.850136766
1/11/2015,Quarter2,sweing,Sunday,8,0.8,0.850136766
1/11/2015,Quarter2,finishing ,Sunday,10,0.8,0.828295455
1/11/2015,Quarter2,finishing ,Sunday,2,0.8,0.820833333
1/11/2015,Quarter2,sweing,Sunday,6,0.8,0.800343766
1/11/2015,Quarter2,sweing,Sunday,12,0.8,0.800246753
1/11/2015,Quarter2,sweing,Sunday,2,0.8,0.8
1/11/2015,Quarter2,sweing,Sunday,10,0.8,0.8
1/11/2015,Quarter2,sweing,Sunday,3,0.8,0.690182815
1/11/2015,Quarter2,finishing ,Sunday,11,0.8,0.668087121
1/11/2015,Quarter2,finishing ,Sunday,8,0.8,0.653598485
1/11/2015,Quarter2,finishing ,Sunday,5,0.5,0.609138258
1/11/2015,Quarter2,sweing,Sunday,11,0.6,0.600229846
1/11/2015,Quarter2,finishing ,Sunday,6,0.8,0.597348485
1/11/2015,Quarter2,finishing ,Sunday,7,0.8,0.590435606
1/11/2015,Quarter2,sweing,Sunday,4,0.8,0.473134796
1/11/2015,Quarter2,sweing,Sunday,5,0.6,0.452979626
1/12/2015,Quarter2,finishing ,Monday,1,0.8,0.955151515
1/12/2015,Quarter2,finishing ,Monday,4,0.35,0.942213805
1/12/2015,Quarter2,finishing ,Monday,3,0.8,0.905454545
1/12/2015,Quarter2,finishing ,Monday,2,0.8,0.880530303
1/12/2015,Quarter2,finishing ,Monday,9,0.8,0.858143939
1/12/2015,Quarter2,sweing,Monday,1,0.8,0.850522167
1/12/2015,Quarter2,sweing,Monday,9,0.8,0.850502311
1/12/2015,Quarter2,sweing,Monday,7,0.8,0.850136766
1/12/2015,Quarter2,sweing,Monday,8,0.8,0.850136766
1/12/2015,Quarter2,finishing ,Monday,6,0.8,0.817424242
1/12/2015,Quarter2,finishing ,Monday,5,0.65,0.809564394
1/12/2015,Quarter2,sweing,Monday,3,0.8,0.800273829
1/12/2015,Quarter2,sweing,Monday,6,0.8,0.800181818
1/12/2015,Quarter2,sweing,Monday,12,0.8,0.80007657
1/12/2015,Quarter2,sweing,Monday,2,0.8,0.8
1/12/2015,Quarter2,finishing ,Monday,8,0.8,0.725
1/12/2015,Quarter2,sweing,Monday,10,0.8,0.688557555
1/12/2015,Quarter2,sweing,Monday,5,0.65,0.650040783
1/12/2015,Quarter2,sweing,Monday,11,0.65,0.64998056
1/12/2015,Quarter2,finishing ,Monday,7,0.8,0.648106061
1/12/2015,Quarter2,finishing ,Monday,11,0.8,0.640577652
1/12/2015,Quarter2,sweing,Monday,4,0.35,0.35063299
1/12/2015,Quarter2,finishing ,Monday,10,0.8,0.24625
1/13/2015,Quarter2,finishing ,Tuesday,4,0.35,0.952020202
1/13/2015,Quarter2,finishing ,Tuesday,1,0.8,0.951420455
1/13/2015,Quarter2,finishing ,Tuesday,10,0.8,0.912766667
1/13/2015,Quarter2,finishing ,Tuesday,3,0.8,0.901262626
1/13/2015,Quarter2,finishing ,Tuesday,9,0.8,0.858143939
1/13/2015,Quarter2,sweing,Tuesday,1,0.8,0.850502311
1/13/2015,Quarter2,sweing,Tuesday,9,0.8,0.850502311
1/13/2015,Quarter2,sweing,Tuesday,8,0.8,0.850252525
1/13/2015,Quarter2,sweing,Tuesday,7,0.8,0.850136766
1/13/2015,Quarter2,finishing ,Tuesday,5,0.65,0.821354167
1/13/2015,Quarter2,finishing ,Tuesday,2,0.8,0.805909091
1/13/2015,Quarter2,sweing,Tuesday,6,0.8,0.800246753
1/13/2015,Quarter2,sweing,Tuesday,12,0.8,0.800246753
1/13/2015,Quarter2,sweing,Tuesday,2,0.8,0.8
1/13/2015,Quarter2,sweing,Tuesday,3,0.8,0.705576584
1/13/2015,Quarter2,finishing ,Tuesday,8,0.8,0.681060606
1/13/2015,Quarter2,finishing ,Tuesday,7,0.8,0.670075758
1/13/2015,Quarter2,finishing ,Tuesday,11,0.8,0.601278409
1/13/2015,Quarter2,sweing,Tuesday,11,0.7,0.582301029
1/13/2015,Quarter2,sweing,Tuesday,5,0.7,0.526810345
1/13/2015,Quarter2,sweing,Tuesday,4,0.5,0.500380799
1/13/2015,Quarter2,sweing,Tuesday,10,0.35,0.35020649
1/14/2015,Quarter2,finishing ,Wednesday,11,0.8,0.934607438
1/14/2015,Quarter2,finishing ,Wednesday,4,0.35,0.908080808
1/14/2015,Quarter2,sweing,Wednesday,7,0.8,0.900144811
1/14/2015,Quarter2,finishing ,Wednesday,1,0.8,0.891723485
1/14/2015,Quarter2,finishing ,Wednesday,5,0.65,0.864583333
1/14/2015,Quarter2,finishing ,Wednesday,9,0.8,0.858143939
1/14/2015,Quarter2,sweing,Wednesday,9,0.8,0.850502311
1/14/2015,Quarter2,sweing,Wednesday,8,0.8,0.850136766
1/14/2015,Quarter2,finishing ,Wednesday,7,0.8,0.837594697
1/14/2015,Quarter2,finishing ,Wednesday,3,0.8,0.820833333
1/14/2015,Quarter2,sweing,Wednesday,12,0.8,0.800313433
1/14/2015,Quarter2,sweing,Wednesday,6,0.8,0.800246753
1/14/2015,Quarter2,sweing,Wednesday,1,0.8,0.800117103
1/14/2015,Quarter2,sweing,Wednesday,5,0.7,0.700095563
1/14/2015,Quarter2,finishing ,Wednesday,8,0.8,0.667329545
1/14/2015,Quarter2,sweing,Wednesday,4,0.6,0.600369686
1/14/2015,Quarter2,sweing,Wednesday,10,0.5,0.499980334
1/14/2015,Quarter2,sweing,Wednesday,11,0.35,0.35003125
1/14/2015,Quarter2,finishing ,Wednesday,10,0.8,0.332359307
1/14/2015,Quarter2,sweing,Wednesday,2,0.8,0.311207464
1/14/2015,Quarter2,finishing ,Wednesday,2,0.8,0.247316017
1/15/2015,Quarter3,finishing ,Thursday,4,0.35,0.988636364
1/15/2015,Quarter3,finishing ,Thursday,10,0.8,0.953110048
1/15/2015,Quarter3,finishing ,Thursday,1,0.8,0.884261364
1/15/2015,Quarter3,finishing ,Thursday,5,0.65,0.860653409
1/15/2015,Quarter3,finishing ,Thursday,9,0.8,0.858143939
1/15/2015,Quarter3,sweing,Thursday,1,0.8,0.850502311
1/15/2015,Quarter3,sweing,Thursday,8,0.8,0.850415628
1/15/2015,Quarter3,sweing,Thursday,7,0.8,0.850136766
1/15/2015,Quarter3,sweing,Thursday,9,0.8,0.800117103
1/15/2015,Quarter3,sweing,Thursday,6,0.8,0.80003139
1/15/2015,Quarter3,sweing,Thursday,12,0.8,0.80003139
1/15/2015,Quarter3,sweing,Thursday,5,0.7,0.700060345
1/15/2015,Quarter3,finishing ,Thursday,7,0.8,0.689299242
1/15/2015,Quarter3,sweing,Thursday,3,0.5,0.660683293
1/15/2015,Quarter3,sweing,Thursday,4,0.65,0.650130952
1/15/2015,Quarter3,finishing ,Thursday,8,0.8,0.606912879
1/15/2015,Quarter3,sweing,Thursday,10,0.6,0.600291767
1/15/2015,Quarter3,sweing,Thursday,11,0.5,0.500025069
1/15/2015,Quarter3,sweing,Thursday,2,0.5,0.499998888
1/17/2015,Quarter3,finishing ,Saturday,5,0.65,0.98719697
1/17/2015,Quarter3,finishing ,Saturday,2,0.8,0.980909091
1/17/2015,Quarter3,finishing ,Saturday,10,0.8,0.974621212
1/17/2015,Quarter3,finishing ,Saturday,1,0.8,0.884261364
1/17/2015,Quarter3,finishing ,Saturday,9,0.8,0.82680303
1/17/2015,Quarter3,sweing,Saturday,6,0.8,0.800343766
1/17/2015,Quarter3,sweing,Saturday,12,0.8,0.800246753
1/17/2015,Quarter3,sweing,Saturday,7,0.8,0.800128721
1/17/2015,Quarter3,sweing,Saturday,8,0.8,0.800128721
1/17/2015,Quarter3,sweing,Saturday,1,0.8,0.800117103
1/17/2015,Quarter3,sweing,Saturday,9,0.8,0.800117103
1/17/2015,Quarter3,sweing,Saturday,2,0.6,0.77011398
1/17/2015,Quarter3,sweing,Saturday,4,0.7,0.7005417
1/17/2015,Quarter3,finishing ,Saturday,8,0.8,0.675568182
1/17/2015,Quarter3,finishing ,Saturday,7,0.8,0.661837121
1/17/2015,Quarter3,sweing,Saturday,10,0.65,0.650198653
1/17/2015,Quarter3,sweing,Saturday,3,0.6,0.600291767
1/17/2015,Quarter3,sweing,Saturday,11,0.6,0.600273268
1/17/2015,Quarter3,finishing ,Saturday,6,0.8,0.465757576
1/17/2015,Quarter3,sweing,Saturday,5,0.7,0.452012539
1/17/2015,Quarter3,finishing ,Saturday,11,0.8,0.313852814
1/18/2015,Quarter3,finishing ,Sunday,5,0.6,0.852793561
1/18/2015,Quarter3,finishing ,Sunday,11,0.65,0.838383838
1/18/2015,Quarter3,finishing ,Sunday,6,0.8,0.804848485
1/18/2015,Quarter3,sweing,Sunday,6,0.8,0.800343766
1/18/2015,Quarter3,sweing,Sunday,7,0.8,0.800128721
1/18/2015,Quarter3,sweing,Sunday,8,0.8,0.800128721
1/18/2015,Quarter3,sweing,Sunday,9,0.8,0.800015009
1/18/2015,Quarter3,sweing,Sunday,4,0.7,0.7005417
1/18/2015,Quarter3,sweing,Sunday,10,0.7,0.700094156
1/18/2015,Quarter3,finishing ,Sunday,7,0.8,0.692045455
1/18/2015,Quarter3,sweing,Sunday,12,0.8,0.662255892
1/18/2015,Quarter3,sweing,Sunday,3,0.65,0.650416734
1/18/2015,Quarter3,sweing,Sunday,11,0.65,0.650299575
1/18/2015,Quarter3,sweing,Sunday,2,0.65,0.650243497
1/18/2015,Quarter3,finishing ,Sunday,8,0.8,0.639867424
1/18/2015,Quarter3,sweing,Sunday,5,0.6,0.600062696
1/18/2015,Quarter3,finishing ,Sunday,9,0.8,0.582045455
1/18/2015,Quarter3,sweing,Sunday,1,0.8,0.403242161
1/18/2015,Quarter3,finishing ,Sunday,10,0.7,0.235795455
1/19/2015,Quarter3,finishing ,Monday,4,0.7,0.977272727
1/19/2015,Quarter3,finishing ,Monday,9,0.8,0.964106061
1/19/2015,Quarter3,finishing ,Monday,5,0.65,0.958901515
1/19/2015,Quarter3,sweing,Monday,6,0.8,0.800358775
1/19/2015,Quarter3,sweing,Monday,8,0.8,0.800162602
1/19/2015,Quarter3,sweing,Monday,9,0.8,0.800117103
1/19/2015,Quarter3,finishing ,Monday,12,0.8,0.793844697
1/19/2015,Quarter3,sweing,Monday,2,0.7,0.750517565
1/19/2015,Quarter3,sweing,Monday,4,0.7,0.750068049
1/19/2015,Quarter3,sweing,Monday,3,0.7,0.750062751
1/19/2015,Quarter3,sweing,Monday,10,0.7,0.750057359
1/19/2015,Quarter3,sweing,Monday,11,0.7,0.700170388
1/19/2015,Quarter3,finishing ,Monday,8,0.8,0.683806818
1/19/2015,Quarter3,sweing,Monday,5,0.65,0.650066445
1/19/2015,Quarter3,sweing,Monday,7,0.8,0.576460393
1/19/2015,Quarter3,sweing,Monday,1,0.5,0.549969429
1/19/2015,Quarter3,finishing ,Monday,10,0.7,0.538399621
1/19/2015,Quarter3,finishing ,Monday,11,0.7,0.409545455
1/19/2015,Quarter3,sweing,Monday,12,0.35,0.35021836
